Country_name,Country_code,Avg_mig,Health_exp,Consum_exp,National_incP.C,National_inc,Prim_enrol_rate,Current_accbal,Employers_total,Employment_serv,Employment_indus,Employment_agri,Expense,GDP_growth,Hightech_exports,HIV_incidence,Labor_particip_rate,Life_expect_birth,Pop_total,Pop_density,Pop_slums,Tax_revenue,Tech_grants,Lit_rate15_24,S&P_equityindex,Reg_business,migration
Peru,PER,-473811.6875,6.5091,77.023725,3.868175,5.393,96.6038,-2.5816,5.49445,72.746675,21.41585,12.929675,17.579525,4.809675,72340525.46,0.03835,72.001675,70.811225,26462099.43,20.6735,45.095,13.834025,188947375,0.980575,19.90063333,6.871775,1
Philippines,PHL,-1132322.313,4.465925,80.4288,3.128825,5.182225,91.14805,0.13005,3.4698,46.16125,15.716675,26.053225,15.812325,4.1458,17954672327,0.01,66.928325,66.8481,80791195.62,270.9568,46.041675,13.51545,255949250,1.015475,12.86566667,12.71475,1
Poland,POL,-66457.75,4.11335,81.74175,7.001075,6.97665,71.8123,-3.336,2.980575,50.365,31.428325,25.4389,35.7444,3.596575,2846556599,0,65.3829,74.0037,38243921.81,124.86085,0,18.3653,0,0.75,7.0947,6.512825,2
Portugal,PRT,134811.375,6.5626,82.297675,1.05895,1.269675,74.5255,-6.73005,5.847925,57.97335,32.538325,22.8295,39.462775,1.356825,1751331101,0,71.870825,77.0048,10332928.48,112.91965,0,20.217625,0,0.500525,3.056233333,6.371775,3
Qatar,QAT,344839.875,0.926125,59.407525,-1.640125,8.57155,91.182175,6.349375,0.3,38.0625,33.975,6.4875,14.796075,9.0262,2024417.767,0,81.22335,76.687775,902034.1726,77.694575,0,15.270725,1139333.333,0.76255,4.4635,3.81945,3
Romania,ROM,-621974.6875,2.8546,55.761975,4.863925,4.0852,91.350425,-6.377925,1.66625,35.7796,32.32,30.649,32.4964,2.409925,1109917622,0,65.9071,71.400125,21666185.11,94.28925,0,17.9558,0,0.749725,8.586866667,4.641025,1
Rwanda,RWA,-312146.3125,4.8616,92.918975,6.2081,7.75245,68.128975,-3.84145,0.075,12.275,3.575,42.216425,10.8092,5.397375,1464055.482,0.49915,87.335,48.005025,8432637.107,341.817475,76.725,8.49595,91218458.33,0.98745,0,6.1314,1
Samoa,WSM,-15023.1875,6.0842,48.772075,0.97345,1.40945,95.158325,-8.31335,2.125,32.14375,13.4875,16.20625,13.201225,2.490525,698764.2167,0,54.557525,69.75415,176787.3036,62.469025,0,10.713,20577791.67,0.75075,0,5.230775,2
San Marino,SMR,0,5.068575,0,0,0,46.534225,0,4.525,58.673325,40.37165,10.909425,30.561125,3.828525,0,0,0,61.343575,28082.20833,468.0368,0,16.661375,0,0,0,1.875,3
Sao Tome & Principe,STP,-5767.375,5.28935,0,0,0,96.25545,-27.827025,0.1,36.3625,18.35,12.720375,17.417425,3.93875,16068.5625,0,59.82165,63.9488,145307.8929,151.3624,21.65,10.089575,12511291.67,0.96385,0,6.9375,2
